word,topic_0,topic_1,topic_2,topic_3
Living room,6.72644455335103e-06,6.194569778017467e-06,0.0011127684265375137,4.925148459733464e-06
Dress,0.00016220149700529873,0.0004990293527953327,7.79266883910168e-06,0.0006401613354682922
Horse grooming,0.00012550501560326666,6.190181920828763e-06,6.615684014832368e-06,4.852607617067406e-06
Melting,6.7282280724612065e-06,6.179270258144243e-06,6.601453151233727e-06,0.00035050627775490284
Maple,0.0001941168011398986,6.186782684380887e-06,6.61873218632536e-06,4.8570154831395485e-06
Daylighting,6.742462119291304e-06,6.202384611242451e-06,0.00042519636917859316,8.341477951034904e-06
African leopard,6.7772289185086265e-06,1.3008364476263523e-05,2.340972059755586e-05,0.0003557971795089543
Vulture,6.750208285666304e-06,6.218227554199984e-06,6.644795575994067e-06,0.00032605475280433893
Pest,6.729395863658283e-06,6.190784006321337e-06,6.620512522204081e-06,0.00014005771663505584
Glass,0.0006086992798373103,7.55866358304047e-06,0.0017185803735628724,2.5972589355660602e-05
Sloth,0.00012015538231935352,6.189213763718726e-06,6.614876383537194e-06,6.084815595386317e-06
Fissure vent,1.4344603187055327e-05,6.2022013480600435e-06,0.00041788193630054593,4.859285581915174e-06
Grassland,0.00013106659753248096,0.0022263627033680677,0.011274289339780807,0.004487113561481237
Warehouse,6.7372557168710046e-06,6.18832837062655e-06,0.0001907809783006087,4.861686647927854e-06
Indian rhinoceros,6.722089892718941e-06,0.00011318749602651224,6.609781394217862e-06,5.404190233093686e-06
Moon,9.586819032847416e-06,0.0010147904977202415,3.687835487653501e-05,1.2103928384021856e-05
Lane,6.741356173733948e-06,6.199079052748857e-06,1.2972524018550757e-05,0.0001263191516045481
Sea kayak,6.751470209565014e-06,0.0004121380334254354,6.6589041125553194e-06,4.865267328568734e-06
Infrastructure,7.499112143705133e-06,0.00023127999156713486,0.0012157306773588061,0.00042940073763020337
Teal,6.81682831782382e-06,1.0153199582418893e-05,0.0010933221783488989,3.2946194551186636e-05
Accordionist,0.00012556907313410193,6.184989160828991e-06,6.604790542041883e-06,4.850941877521109e-06
Underground lake,0.0011786064133048058,6.263818704610458e-06,1.5171986888162792e-05,6.505134479084518e-06
Tyrannosaurus,6.7239943746244535e-06,6.186039172462188e-06,0.0001234208612004295,4.850229743169621e-06
Botany,0.0006328064482659101,6.487106475105975e-06,6.913653123774566e-06,0.003169616451486945
Ceiling,0.0002973131195176393,6.217409008968389e-06,0.0008201265591196716,4.9379505071556196e-06
Public event,0.00019446015357971191,6.232071882550372e-06,7.995799933269154e-06,0.00013658968964591622
Tile,6.8365156948857475e-06,6.276974545471603e-06,0.0012487738858908415,1.8806435036822222e-05
Tattoo,6.903355370013742e-06,0.0007227920577861369,6.811395451222779e-06,6.410004425561056e-05
Picture frame,0.00029780063778162,0.00040483855991624296,0.000903923180885613,1.0951435797323938e-05
Organ,1.4508696949633304e-05,6.232060059119249e-06,0.0005283268401399255,4.880389042227762e-06
Cirque,9.064780169865116e-05,6.258277608139906e-06,6.699338882754091e-06,0.00011383082892280072
Hi-top fade,6.797061359975487e-06,0.000689068459905684,0.00011800161883002147,4.88544628751697e-06
Fête,0.000867633440066129,0.0008222272736020386,3.559144170139916e-05,1.5043957318994217e-05
Grizzly bear,0.002128539141267538,4.796953726327047e-05,0.00015991264081094414,0.0006393718649633229
Rabbits and Hares,6.733915142831393e-06,0.0001782978215487674,6.682913408440072e-06,4.860564786213217e-06
Suburb,6.784704510209849e-06,0.0008597332052886486,6.701690381305525e-06,4.878881100012222e-06
Ciconiiformes,6.786924132029526e-06,4.307784547563642e-05,6.669632057310082e-06,0.0007342093740589917
Job,7.386172910628375e-06,6.766475962649565e-06,7.472398010577308e-06,0.0006670361035503447
canis lupus tundrarum,0.0003024565812665969,6.229255632206332e-06,6.671763003396336e-06,6.598888285225257e-05
Property,6.767631475668168e-06,6.308986485237256e-06,0.0015720020746812224,4.893919140158687e-06
Wadi,0.002704206621274352,6.261656835704343e-06,7.177655788837001e-06,0.00013172747276257724
Common chimpanzee,0.0007857278687879443,0.00041150354081764817,6.731963367201388e-06,1.6907844837987795e-05
Night,0.0093260258436203,0.008890914730727673,0.006956289056688547,0.0014604999450966716
