word,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
crop,2.8508704872365342e-06,0.0007794203702360392,1.0459209534019465e-06,2.9752497994195437e-06,0.0022131772711873055,9.262459934689105e-05
sperm whale,2.834996394085465e-06,2.657845925568836e-06,0.00019276898819953203,2.95707513942034e-06,2.4381740786338923e-06,2.153376726710121e-06
marines,1.4614905012422241e-05,0.004135370720177889,1.0415324140922166e-06,2.961890231745201e-06,2.4413197934336495e-06,0.0002300805936101824
skatepark,2.8353695142868673e-06,2.6561328922980465e-06,2.4487875634804368e-05,0.0006255798507481813,2.437755711071077e-06,2.1528387605940225e-06
fixed link,2.8362890134303598e-06,2.657587401699857e-06,1.0403956594018382e-06,0.0005479051033034921,2.4395603759330697e-06,2.153791683667805e-06
zoo,2.8428044061001856e-06,0.0007795144338160753,1.0424237188999541e-06,2.9678647024411475e-06,2.44421335082734e-06,0.000398964446503669
animal sports,0.0008323122747242451,2.6605214316077763e-06,1.040848246702808e-06,0.0008680629543960094,2.4411895083176205e-06,2.156150912924204e-06
steller sea lion,0.0005255947471596301,0.0007793218828737736,1.0416406439617276e-06,2.9619693577842554e-06,2.4448031581414398e-06,2.1672626644431148e-06
floor,2.837203282979317e-06,2.6579448331176536e-06,1.0411043831481948e-06,2.9603766051877756e-06,0.0007155603962019086,2.154231196982437e-06
concert,2.8374686280585593e-06,0.0004921219078823924,1.040792653839162e-06,2.957991910079727e-06,2.438529918435961e-06,2.1540586203627754e-06
street art,2.8390600164129864e-06,2.658051243997761e-06,0.001427793875336647,2.9611444460897474e-06,2.4399885205639293e-06,2.1541079604503466e-06
parrotfish,2.8364295303617837e-06,2.6586876629153267e-06,1.041124278344796e-06,2.9579043712146813e-06,2.439586069158395e-06,0.002954968251287937
skyscraper,2.8432327781047206e-06,2.662023916855105e-06,1.0586214784780168e-06,0.0005481975385919213,2.444259962430806e-06,0.0006312673212960362
plant community,2.842267576852464e-06,0.0004926774417981505,0.00028484329232014716,2.964942495964351e-06,2.4412593120359816e-06,0.00043897225987166166
coyote,2.8359913812892046e-06,2.6570121463009855e-06,0.0001927616394823417,2.9566804187197704e-06,2.4392277282458963e-06,2.153845116481534e-06
performance art,2.8588640361704165e-06,0.0004918910562992096,1.0409306696601561e-06,2.958570121336379e-06,2.437809143884806e-06,2.152327624571626e-06
red,7.86727287049871e-06,0.0007803176995366812,0.002476444933563471,0.00333683961071074,0.0011367114493623376,0.00039971090154722333
aquarium decor,0.0008315981831401587,2.6625493774190545e-06,1.0447237173139001e-06,2.9709826776525006e-06,2.4474275051034056e-06,2.1580599423032254e-06
eating,2.8360102533042664e-06,2.6565915050014155e-06,0.0003053137625101954,2.9582711249531712e-06,2.4403072984569008e-06,2.1537114207603736e-06
